I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION,,
10175,Tsu,2016,3,2,12,49,11,24,7.8,7.8,,,,,,5,INDONESIA,,INDONESIA: SUMATRA:,-4.952,94.33,60,,,,,,,,,,,,,,,,,,,,,,,,,,
10186,,2016,4,10,10,29,12,212,6.6,6.6,,,,,,5,AFGHANISTAN,,AFGHANISTAN:  KHYBER PAKHTUNKHWA,36.473,71.131,40,6,1,,,5,1,,1,,,20,1,6,1,,,5,1,,1,,,20,1,,
10363,,2016,4,13,13,55,8,136,6.9,6.9,,,,,,5,MYANMAR (BURMA),,INDIA: ASSAM; BANGLADESH,23.094,94.865,60,2,1,,,170,3,,2,,,4,1,2,1,,,170,3,,2,,,4,1,,
10177,,2016,4,15,16,25,22,10,7,7,,,,,,8,JAPAN,,JAPAN:  KUMAMOTO, OITA,32.791,130.754,30,50,1,,,1500,4,20000,4,80000,4,,,50,1,,,1500,4,20000,4,80000,4,,,
10176,Tsu,2016,4,16,23,58,    ,17,7.8,7.8,,,,,,8,ECUADOR,,ECUADOR:  NEAR WEST COAST: MANABI, ESMERALDAS,0.35,-80.16,160,663,3,9,1,6274,4,3300,4,6998,4,29672,4,663,3,9,1,6274,4,3300,4,6998,4,29672,4,
10179,Tsu,2016,4,28,19,33,7,24,7,7,,,,,,,VANUATU,,VANUATU ISLANDS,-16.043,167.379,170,,,,,,,,,,,,,,,,,,,,,,,,,,
10178,,2016,5,11,1,15,22,8,5.2,5.2,,,,,,,CHINA,,CHINA:  TIBET (XIZANG PROVINCE),32.022,95.027,40,,,,,60,2,,1,,1,,,,,,,60,2,,1,,1,,,,
10181,,2016,5,18,16,47,26,30,6.9,6.9,,,,,,4,ECUADOR,,ECUADOR:  MANABI PROVINCE,0.495,-79.616,160,1,1,,,162,3,,1,,1,32,1,1,1,,,162,3,,1,,1,32,1,,
10364,,2016,5,28,23,54,38,11,5.4,5.4,,,,,,5,ALGERIA,,ALGERIA:  MEDEA:  MIHOUB,36.431,3.517,15,,,,,28,1,,2,,3,,1,,,,,28,1,,2,,3,,1,,
10365,,2016,6,1,22,56,8,50,6.6,6.6,,,,,,5,INDONESIA,,INDONESIA:  SUMATRA:  PESISIR SELATAN,-2.097,100.665,60,1,1,,,30,1,,2,,,2663,4,1,1,,,30,1,,2,,,2663,4,,
